perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
americanas,Fri Jul 17 17:08:31 +0000 2020,@mlthaisa Olá! O que aconteceu?,reply,não,nenhum,0,1,0,1,0.5,https://www.twitter.com/americanascom/status/1284173146183139331
americanas,Fri Jul 17 17:04:55 +0000 2020,"@PCRABELO Oi, Paulo! Envia o número do seu pedido por DM, por favor? Vamos verificar o status do seu pedido.",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284172242159644674
americanas,Fri Jul 17 16:25:52 +0000 2020,"@schgois Olá! Você sabe dizer o número desse pedido pra gente? Se não o tiver por perto, fala o CPF que você usou pra fazer a compra que já ajuda bastante :) Te aguardamos por DM!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284162414582419461
americanas,Fri Jul 17 15:58:08 +0000 2020,"@RonyGomesR12 Olá! Envia o número do seu pedido e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1284155431921885186
americanas,Fri Jul 17 15:57:40 +0000 2020,"@loveiszayn Olá! Envia o número do seu pedido e um número de telefone com DDD, por DM, que a gente vai dar uma olhada. Obrigada!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284155316800716800
americanas,Fri Jul 17 15:53:43 +0000 2020,"@BrunoPneuma Olá! Você está precisando de alguma ajuda? Qualquer coisa, fala com a gente por inbox, por favor :)",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284154320594796544
americanas,Fri Jul 17 15:22:31 +0000 2020,@mdiass99 \o/ :),reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284146469205876737
americanas,Fri Jul 17 15:21:51 +0000 2020,"@pjacksontwi Olá! Você está precisando de alguma ajuda? Qualquer coisa, fala com a gente por aqui.",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284146303325425664
americanas,Fri Jul 17 14:55:56 +0000 2020,"@iMaycon oi, Maycon! pode nos enviar o link deste site, por favor? nossa equipe responsável vai retirar do ar. obrigada!",reply,não,nenhum,0,1,0,0,0.25,https://www.twitter.com/americanascom/status/1284139779756630016
americanas,Fri Jul 17 14:54:00 +0000 2020,"@fernandoazalim obrigada você pelo contato &lt;3 sempre que precisar, pode me chamar por aqui!",reply,não,nenhum,0,0,0,0,0,https://www.twitter.com/americanascom/status/1284139293078953989
