perfil,data,texto,reply_ou_original,tem_midia,tipo_midia,quotes,replies,retweets,likes,media_interacoes,link
americanas,Fri Jul 17 14:25:56 +0000 2020,"@maria_mariola_ oooba!
＼○／ 
   /        
ノ) https://t.co/OGCvRRJt1f",reply,sim,animated_gif,0,0,0,1,0.25,https://www.twitter.com/americanascom/status/1284132228713402370
americanas,Thu Jul 16 22:23:02 +0000 2020,@kellyluara_ oooba 📦🏃‍♀️💨 https://t.co/TRHGLPvPqC,reply,sim,animated_gif,0,1,1,1,0.75,https://www.twitter.com/americanascom/status/1283889907568648192
americanas,Thu Jul 16 20:15:31 +0000 2020,"@boyprates oooooooba &lt;3 🥰

🥳🥳 feliz aniversário, Danieeel! aproveita o seu dia 🥳🥳 https://t.co/CJmkoYzoB3",reply,sim,animated_gif,1,1,0,1,0.75,https://www.twitter.com/americanascom/status/1283857816890023942
americanas,Mon Jul 13 14:37:02 +0000 2020,"@marlucegoes @Pitty @Pitty: 🎶🎶🎶 eu vou equalizar você, numa frequência que só a gente sabe 🎶🎶🎶

eu até hoje: https://t.co/ZHoseL6YJa",reply,sim,animated_gif,1,3,6,15,6.25,https://www.twitter.com/americanascom/status/1282685471089463296
americanas,Mon Jul 13 14:18:32 +0000 2020,@janaalmeidaa @ChiliPeppers nomeie um grupo mais icônico e falhe miseravelmente https://t.co/0dIbgJuVFJ,reply,sim,animated_gif,0,1,0,1,0.5,https://www.twitter.com/americanascom/status/1282680818373140487
americanas,Thu Jul 09 21:36:15 +0000 2020,Nah mandou o recado: tem cupom hoje? Tem cupom siiim! Vai lá pro app 👉 https://t.co/91kmZWQaBG #AmericanasAoVivo https://t.co/bUK2DM0TqQ,original,sim,animated_gif,1,4,0,8,3.25,https://www.twitter.com/americanascom/status/1281341418607456257
americanas,Wed Jul 08 21:32:34 +0000 2020,"✅ bateria que dura o dia todo

Ele tem bateria de 6.000mAh (!!!). Tá bom ou quer mais, @? #MEGALive https://t.co/tTPW7AEWEK",reply,sim,animated_gif,1,4,0,17,5.5,https://www.twitter.com/americanascom/status/1280978106958954498
americanas,Wed Jul 08 18:54:05 +0000 2020,"Vocês: fazem um pedido
Eu:

#ObaJáChegou ✨ https://t.co/eKgjNSw8rL https://t.co/wINlHOzf9Z",original,sim,animated_gif,2,18,0,20,10,https://www.twitter.com/americanascom/status/1280938223146065920
americanas,Wed Jul 08 18:46:16 +0000 2020,Ela merece tuuudo 😻 #ObaJáChegou https://t.co/2UvvzpCF8E https://t.co/iWifJmIeCE,original,sim,animated_gif,1,3,0,11,3.75,https://www.twitter.com/americanascom/status/1280936253664497668
americanas,Tue Jul 07 20:10:36 +0000 2020,@juliavaroline eu olhando vocês olhando jogo de cama em mim https://t.co/PZJhxOObMW,reply,sim,animated_gif,0,0,1,1,0.5,https://www.twitter.com/americanascom/status/1280595090906517504
